id,name,category,description,tags
"dbtnshd2b8","Congenital gnathsthenia","diseases","A congenital  medical condition characterized by inflammation or abnormal state of the gnath system.","gnath;sthenia;disease;congenital"
"sri84pqjx6","Localized Cardiac Spasms","symptoms","Patient experiences localized  spasms in the cardiac  region.","spasms;symptom;cardiac;localized"
"s2hp7gx76z","Constant Spasms","symptoms","Patient experiences constant  spasms in the affected region.","spasms;symptom;constant"
"dmecm2f02t","Localized oculoalgia","diseases","A localized  medical condition characterized by inflammation or abnormal state of the oculo system.","oculo;algia;disease;localized"
"d8ndgn958y","Congenital enteroitis","diseases","A congenital  medical condition characterized by inflammation or abnormal state of the entero system.","entero;itis;disease;congenital"
"tltiii3ba8","Process Syndrome","terms","A clinical term referring to process syndrome.","term;medical;clinical"
"tcdhqum5qo","Genetic Gastric","terms","A clinical term referring to genetic gastric.","term;medical;clinical"
"td5mb9efu2","Pathway Acquired","terms","A clinical term referring to pathway acquired.","term;medical;clinical"
"t6lduasho4","Process Fungal","terms","A clinical term referring to process fungal.","term;medical;clinical"
"mzy5o0x2ys","Bupaglinide Inhaler","medicines","A pharmacological agent prescribed for various therapeutic indications, available as inhaler.","glinide;inhaler;medicine;treatment"
"d832zhl936","Fungal keratoosis","diseases","A fungal  medical condition characterized by inflammation or abnormal state of the kerato system.","kerato;osis;disease;fungal"
"slnuijinyi","Itching","symptoms","Patient experiences  itching in the affected region.","itching;symptom"
"dnskfzcvbo","Hemopenia","diseases","A general medical condition characterized by inflammation or abnormal state of the hemo system.","hemo;penia;disease"
"tmmk5xjkfb","Syndrome Process","terms","A clinical term referring to syndrome process.","term;medical;clinical"
"dhf047g4vv","Primary enterotrophy","diseases","A primary  medical condition characterized by inflammation or abnormal state of the entero system.","entero;trophy;disease;primary"
"mlst5bg60p","Simadipine Suppository","medicines","A pharmacological agent prescribed for various therapeutic indications, available as suppository.","dipine;suppository;medicine;treatment"
"dc6bzdxcw8","Phlebomalacia","diseases","A general medical condition characterized by inflammation or abnormal state of the phlebo system.","phlebo;malacia;disease"
"mwi2r2su3i","Fentamycin Solution","medicines","A pharmacological agent prescribed for various therapeutic indications, available as solution.","mycin;solution;medicine;treatment"
"dpyx4zhq9t","Pulmoosis","diseases","A general medical condition characterized by inflammation or abnormal state of the pulmo system.","pulmo;osis;disease"
"m9nsyyljnf","Sertasartan Syrup","medicines","A pharmacological agent prescribed for various therapeutic indications, available as syrup.","sartan;syrup;medicine;treatment"
"mdfx2h3jq9","Ibudipine Capsules","medicines","A pharmacological agent prescribed for various therapeutic indications, available as capsules.","dipine;capsules;medicine;treatment"
"sj97w0sptd","Throbbing Redness","symptoms","Patient experiences throbbing  redness in the affected region.","redness;symptom;throbbing"
"tfc1wccvln","Pathway Factor","terms","A clinical term referring to pathway factor.","term;medical;clinical"
"do9yb0p30y","Localized hemoalgia","diseases","A localized  medical condition characterized by inflammation or abnormal state of the hemo system.","hemo;algia;disease;localized"
"mep6itftsh","Omecillin Cream","medicines","A pharmacological agent prescribed for various therapeutic indications, available as cream.","cillin;cream;medicine;treatment"
"s4tnqo9g7h","Moderate Pelvic Tingling","symptoms","Patient experiences moderate  tingling in the pelvic  region.","tingling;symptom;pelvic;moderate"
"trpyhp8s2m","Factor Factor","terms","A clinical term referring to factor factor.","term;medical;clinical"
"d4kers4fj7","Autoimmune enteroplasia","diseases","A autoimmune  medical condition characterized by inflammation or abnormal state of the entero system.","entero;plasia;disease;autoimmune"
"s2g4oj8vpk","Cervical Fever","symptoms","Patient experiences  fever in the cervical  region.","fever;symptom;cervical"
"dxd0bde90d","Systemic rhinoosis","diseases","A systemic  medical condition characterized by inflammation or abnormal state of the rhino system.","rhino;osis;disease;systemic"
"d8gl4abq2o","Dermaoma","diseases","A general medical condition characterized by inflammation or abnormal state of the derma system.","derma;oma;disease"
"dlz2i5asuy","Bacterial gastrorrhexis","diseases","A bacterial  medical condition characterized by inflammation or abnormal state of the gastro system.","gastro;rrhexis;disease;bacterial"
"tphtqqzgn9","Pathway Process","terms","A clinical term referring to pathway process.","term;medical;clinical"
"tju2vn1g4h","Process Genetic","terms","A clinical term referring to process genetic.","term;medical;clinical"
"se7ork1x0u","Pelvic Aching","symptoms","Patient experiences  aching in the pelvic  region.","aching;symptom;pelvic"
"sd2zlxyvwx","Worsening Bleeding","symptoms","Patient experiences worsening  bleeding in the affected region.","bleeding;symptom;worsening"
"mchu7v4min","Ibunib Cream","medicines","A pharmacological agent prescribed for various therapeutic indications, available as cream.","nib;cream;medicine;treatment"
