Disease,Category,Symptoms,Common_Medications,Severity,Contagious,Specialist,Precautions
Common Cold,Respiratory,Runny nose; sneezing; sore throat; mild cough; congestion,Paracetamol; Antihistamines; Decongestants,Mild,Yes,General Physician,Rest; hydration; hand hygiene
Influenza (Flu),Respiratory,Fever; body aches; fatigue; cough; sore throat; chills,Oseltamivir; Paracetamol; Ibuprofen,Moderate,Yes,General Physician,Annual vaccination; rest; isolation
COVID-19,Respiratory/Infectious,Fever; dry cough; loss of taste/smell; fatigue; breathlessness,Paracetamol; Antivirals (as prescribed); Supportive care,Variable,Yes,General Physician/Pulmonologist,Vaccination; masks; isolation
Pneumonia,Respiratory,Cough with phlegm; fever; chest pain; breathlessness,Amoxicillin; Azithromycin; Antipyretics,Moderate-Severe,Yes,Pulmonologist,Vaccination; avoid smoking
Tuberculosis,Respiratory/Infectious,Persistent cough; weight loss; night sweats; fatigue; blood in sputum,Isoniazid; Rifampicin; Ethambutol; Pyrazinamide,Severe,Yes,Pulmonologist,DOTS therapy completion; isolation
Asthma,Respiratory,Wheezing; shortness of breath; chest tightness; coughing,Salbutamol inhaler; Corticosteroid inhalers; Montelukast,Moderate,No,Pulmonologist,Avoid triggers/allergens
Chronic Obstructive Pulmonary Disease (COPD),Respiratory,Chronic cough; breathlessness; wheezing; mucus production,Bronchodilators; Inhaled corticosteroids; Oxygen therapy,Severe,No,Pulmonologist,Smoking cessation
Bronchitis,Respiratory,Persistent cough; mucus; fatigue; mild fever,Cough suppressants; Bronchodilators; Antibiotics (if bacterial),Mild-Moderate,Sometimes,General Physician,Avoid smoke; hydration
Sinusitis,Respiratory,Facial pain; nasal congestion; headache; thick nasal discharge,Decongestants; Nasal corticosteroids; Antibiotics (if bacterial),Mild,No,ENT Specialist,Steam inhalation; hydration
Allergic Rhinitis,Respiratory/Allergy,Sneezing; itchy eyes; runny nose; nasal congestion,Antihistamines; Nasal corticosteroids; Decongestants,Mild,No,Allergist/ENT,Avoid allergens
Hypertension,Cardiovascular,Often asymptomatic; headache; dizziness; blurred vision,ACE inhibitors; Beta-blockers; Diuretics; Calcium channel blockers,Chronic,No,Cardiologist,Low-sodium diet; exercise; stress management
Coronary Artery Disease,Cardiovascular,Chest pain; shortness of breath; fatigue; palpitations,Statins; Aspirin; Beta-blockers; Nitrates,Severe,No,Cardiologist,Healthy diet; exercise; quit smoking
Myocardial Infarction (Heart Attack),Cardiovascular,Severe chest pain; sweating; nausea; pain radiating to arm/jaw,Aspirin; Thrombolytics; Beta-blockers; Statins,Emergency,No,Cardiologist,Emergency care; lifestyle changes
Heart Failure,Cardiovascular,Breathlessness; fatigue; swollen legs; rapid heartbeat,ACE inhibitors; Diuretics; Beta-blockers,Severe,No,Cardiologist,Salt restriction; fluid monitoring
Arrhythmia,Cardiovascular,Palpitations; dizziness; fainting; chest discomfort,Antiarrhythmics; Beta-blockers; Anticoagulants,Variable,No,Cardiologist,Avoid stimulants; regular monitoring
Stroke,Neurological/Cardiovascular,Sudden weakness; slurred speech; facial droop; vision loss,Thrombolytics; Antiplatelets; Anticoagulants,Emergency,No,Neurologist,Manage BP/cholesterol; quit smoking
Deep Vein Thrombosis,Cardiovascular,Leg swelling; pain; warmth; redness,Anticoagulants (Heparin; Warfarin),Moderate-Severe,No,Vascular Specialist,Mobility; compression stockings
Varicose Veins,Cardiovascular,Bulging veins; leg pain; swelling; heaviness,Compression therapy; Venotonic drugs,Mild,No,Vascular Surgeon,Elevate legs; avoid prolonged standing
Type 1 Diabetes,Endocrine,Excessive thirst; frequent urination; weight loss; fatigue,Insulin therapy,Chronic,No,Endocrinologist,Blood sugar monitoring; diet control
Type 2 Diabetes,Endocrine,Increased thirst; frequent urination; fatigue; blurred vision,Metformin; Sulfonylureas; Insulin (advanced cases),Chronic,No,Endocrinologist,Diet; exercise; weight management
Hypothyroidism,Endocrine,Fatigue; weight gain; cold intolerance; dry skin,Levothyroxine,Chronic,No,Endocrinologist,Regular thyroid monitoring
Hyperthyroidism,Endocrine,Weight loss; rapid heartbeat; sweating; anxiety,Methimazole; Beta-blockers; Radioactive iodine,Chronic,No,Endocrinologist,Regular monitoring
Cushing's Syndrome,Endocrine,Weight gain; moon face; stretch marks; fatigue,Ketoconazole; Surgery (if tumor),Moderate-Severe,No,Endocrinologist,Medical supervision
Addison's Disease,Endocrine,Fatigue; weight loss; low blood pressure; skin darkening,Hydrocortisone; Fludrocortisone,Chronic,No,Endocrinologist,Stress dose steroid awareness
PCOS (Polycystic Ovary Syndrome),Endocrine/Reproductive,Irregular periods; weight gain; acne; excess hair growth,Oral contraceptives; Metformin; Anti-androgens,Chronic,No,Gynecologist/Endocrinologist,Weight management; diet
Obesity,Endocrine/Metabolic,Excess body weight; fatigue; joint pain; breathlessness,Orlistat; Lifestyle modification; (Surgery in severe cases),Chronic,No,Endocrinologist/Dietitian,Diet; exercise
Migraine,Neurological,Severe headache; nausea; light/sound sensitivity; aura,Triptans; NSAIDs; Beta-blockers (prevention),Moderate,No,Neurologist,Avoid triggers; adequate sleep
Epilepsy,Neurological,Seizures; loss of consciousness; convulsions,Antiepileptics (Valproate; Levetiracetam; Phenytoin),Chronic,No,Neurologist,Avoid triggers; medication adherence
Parkinson's Disease,Neurological,Tremors; rigidity; slow movement; balance issues,Levodopa; Dopamine agonists,Chronic/Progressive,No,Neurologist,Physical therapy; medication adherence
Alzheimer's Disease,Neurological,Memory loss; confusion; disorientation; mood changes,Donepezil; Memantine,Chronic/Progressive,No,Neurologist,Cognitive stimulation; caregiver support
Multiple Sclerosis,Neurological/Autoimmune,Numbness; vision problems; fatigue; muscle weakness,Interferon beta; Corticosteroids; Immunomodulators,Chronic,No,Neurologist,Avoid overheating; regular exercise
Bell's Palsy,Neurological,Sudden facial weakness/drooping; difficulty closing eye,Corticosteroids; Antivirals,Moderate,No,Neurologist,Eye protection; physiotherapy
Peripheral Neuropathy,Neurological,Numbness; tingling; burning pain in limbs,Gabapentin; Pregabalin; Vitamin B12 supplements,Chronic,No,Neurologist,"Manage underlying cause (e.g., diabetes)"
Gastroesophageal Reflux Disease (GERD),Gastrointestinal,Heartburn; regurgitation; chest discomfort; sour taste,Antacids; Proton pump inhibitors; H2 blockers,Mild-Moderate,No,Gastroenterologist,Avoid spicy/fatty food; weight control
Peptic Ulcer Disease,Gastrointestinal,Abdominal pain; bloating; nausea; burning stomach pain,Proton pump inhibitors; Antibiotics (for H. pylori),Moderate,No,Gastroenterologist,Avoid NSAIDs/alcohol
Irritable Bowel Syndrome (IBS),Gastrointestinal,Abdominal pain; bloating; diarrhea or constipation,Antispasmodics; Fiber supplements; Laxatives/Antidiarrheals,Chronic,No,Gastroenterologist,Diet modification; stress management
Gastroenteritis,Gastrointestinal/Infectious,Diarrhea; vomiting; abdominal cramps; fever,Oral rehydration salts; Antiemetics; Antibiotics (if bacterial),Mild-Moderate,Yes,General Physician,Hydration; hand hygiene
Hepatitis A,Infectious/Liver,Jaundice; fatigue; nausea; abdominal pain,Supportive care; Rest; Hydration,Moderate,Yes,Gastroenterologist/Hepatologist,Vaccination; sanitation
